"professionid","professiondescen","professiondescar"
"213111","CUSTOMER SERVICES MANAGER","مدير خدمات العملاء"
"213112","DIRECTOR AIRPORT ZONE CUSTOMER SERVICES","مدير ادارة - خدمة العملاء لمنطقة المطار"
"213113","CUSTOMER RELATIONSHIP MANAGER","مدير علاقات العملاء"
"213114","MANAGER CREEK MARINE OPERATIONS","مدير عمليات الخور البحريه"
"213115","DIRECTOR INLAND ZONE CUSTOMER SERVICES","مدير ادارة خدمة العملاء للمنطقه البريه"
"213116","MANAGER HATTA CUSTOMER CENTER","مدير مركز خدمة العملاء حتا"
"213117","ADMINISTRATIVE CUSTOMER SERVICE","اداري خدمة العملاء"
"213118","SR.MANAGER CLIENT SERVICE DEVELOPMENT","مدير اول قسم تطوير خدمة العملاء"
"213119","SR.MANAGER CUSTOMER SERVICE MANAGEMENT","مدير اول قسم ادارة خدمة العملاء"
"213120","INSPECTION MANAGER","مدير تفتيش"
"213121","AREA MANAGER","مدير اقليمى"
"213122","MANAGER CREEK INSPECTION CENTER","مدير مركز تفتيش الخور"
"213123","MANAGER CREEK ENTRY INSPECTION CENTER","مدير مركز تفتيش مدخل الخور"
"213124","MANAGER HAMRIYA INSPECTION CENTER","مدير مركز تفتيش الحمرية"
"213125","MANAGER JA AND TECOM INSPECTION CENTER","مدير مركز تفتيش جبل علي وتيكوم"
"213126","MANAGER GPO INSPECTION CENTER","مدير مركز تفتيش البريد"
"213127","MANAGER CARGO VILLAGE INSPECTION CENTER","مدير مركز تفتيش قرية دبي للشحن"
"213128","MANAGER DMCC INSPECTION CENTER","مدير مركز تفتيش المعادن والسلع المتعددة"
"213129","MANAGER SILICON OASIS INSPECTION CENTER","مدير مركز تفتيش واحة السلكون"
"213130","MANAGER AIRPORT ZONE INSPECTION CENTER","مدير مركز تفتيش المنطقه الحرة بالمطار"
"213131","DUTY MANAGER","مدير دوام"
"213132","ASSISTANT DUTY MANAGER","مساعد مدير دوام"
"213133","MANAGER DRY PORT INSPECTION CENTER","مدير مركز التفتيش الميناء الجاف"
"213134","MANAGER DUCAMZ INSPECTION CENTER","مدير مركز تفتيش دوكامز"
"213135","MANAGER HATTA INSPECTION CENTER","مدير مركز تفتيش حتا"
"213141","INFORMATION SERVICES MANAGER","مدير خدمات معلومات"
"213142","TECHNOLOGY ARCHITECTURE TEAM LEADER","قائد فريق تصميم تقنية المعلومات"
"213151","CONTRACTS AND SYSTEMS MANAGER","مدير عقود و انظمه"
"213152","ASST CONTRACTS  SYSTEMS MGR","مساعد مدير عقود وانظمه"
"213153","MANAGER AGREEMENTS AND CONTRACTS","مدير قسم الاتفاقيات والعقود"
"213161","AIRLINES MANAGER","مدير خطوط طيران"
"213171","MANAGER FLIGHT OPS SERVICES","مدير خدمات عمليات الطيران"
"213172","INSPECTOR FLIGHT OPERATIONS","مفتش عمليات الطيران"
"213201","AUDIT MANAGER","مدير التدقيق"
"213202","MANAGER - BUDGET AND AUDIT","مدير - الميزانيه والتدقيق"
"213203","DIRECTOR OF FINANCE","مدير الماليه"
"213204","DIRECTOR OF INTERNAL AUDIT","رئيس قسم التدقيق الداخلي"
"213205","SENIOR SPECIALIST INTERNAL AUDIT","اخصائي اول تدقيق داخلي"
"213206","MANAGER CUSTOMS AUDIT","مدير التدقيق اللاحق"
"213207","TEAM LEADER AUDIT","رئيس مجموعة التدقيق"
"213208","DIRECTOR POST ENTRY AUDIT","مدير ادارة التدقيق اللاحق"
"213230","TECHNICAL ADVISOR","مستشار تقني"
"1","UNKNOWN","غير محدده"
"2","NONE","بدون"
"3","Temporary","مؤقت"
"5","President of Civil Aviation","رئيس الطيران المدني"
"10","DIRECTOR NRD-ABU DHABI","مديرإدارة الجنسية والإقامة -ابوظبي"
"100000","GENERAL ADMINISTRATION MANAGER","مديرو الاداره العامه"
"110000","CENTRAL ADMINISTRATION DIRECTR","مديرو الادارات العامه المركزيه"
"111000","GENERAL ADIMI ORAG DIRECTOR","مديروالادارات العامه والتنظيميه"
"111002","MINISTER","وزير"
"111003","SENIOR MANAGER","مدير اول"
"111004","ASSISTANT / ACTING MINISTER","مساعد وزير"
"111005","UNDERSECRETARY / MINISTRY","وكيل وزاره"
"111006","UNDERSECRETARY ASSISTANT","وكيل وزاره مساعد"
"111008","UNDERSECTETARY DEPARTMENT","وكيل دائره"
"111009","BRANCH MANAGER","مدير فرع"
"111010","ASSISTANT UNDERSECRETARY DEP","وكيل دائره مساعد"
"111011","MANAGER REGIONAL AND INTERNATIONAL AFFAIRS","مدير الشؤون الاقليميه والدوليه"
"111012","MANAGER ASSETS AND COMPLIANCE","مدير الاصول والمراقبه"
"111013","CEO - DUBAI KNOWLEDGE FUND","الرئيس التنفيذي لمؤسسة صندوق المعرفه"
"111014","HR PROJECTS MANAGER","مدير مشاريع الموارد البشريه"
"111015","HEAD OF STRATEGIC PROJECTS","مدير المشاريع الاستراتيجيه"
"111016","POLICY AND RESEARCH MANAGER","مدير الابحاث والسياسات"
"111017","STRATEGY MANAGER","مدير استراتيجيه"
"111018","DIRECTOR OF STRATEGIC PARTNERSHIPS","مدير الشراكات الاستراتيجيه"
"111019","MANAGER OF STRATEGIC PARTNERSHIPS","مدير العلاقات الاستراتيجيه"
"111020","DIRECTOR OF STRATEGIC INITIATIVES","مدير المبادرات الاستراتيجيه"
"111021","CHAIRMAN OF THE BOARD","رئيس مجلس اداره"
"111022","CHIEF EXECUTIVE OFFICER","رئيس المكتب التنفيذي"
"111023","CHIEF EXECUTIVE","رئيس تنفيذى"
"111024","EXPLORATION PRODUCTION EXECUTIVE ADVISOR","المستشار التنفيذي للاستكشاف والانتاج"
"111025","ADMINISTRATIVE DIRECTOR","مدير ادارى"
"111026","GENRAL SECURITY","امين عام"
"111027","MANAGING DIRECTOR","مدير اداره"
"111028","REGIONAL MANAGER","مدير اقليمى"
"111029","AREA MANAGER","مدير منطقه"
"111030","AREA HEAD","مسؤول منطقه"
"111031","GENERAL MANAGER","مدير عام"
"111032","EXECUTIVE MANAGER","مدير تنفيذي"
"111033","ASSISTANT GENERAL MANAGER","نائب مدير عام"
"111034","GENERAL MANAGER ASSISTANT","مساعد مدير عام"
"111035","SITE MANAGER","مدير موقع"
"111036","GENERAL MANAGER-REGIONAL","مدير عام المنطقه"
"111037","STATION MANAGER","مدير محطه"
"111038","PERSONAL ASSISTANT","مساعد شخصي"
"111039","VICE PRESIDENT","نائب الرئيس"
"111040","GENERAL MANGER-REGIONAL ASSISTANT","مساعد مدير منطقه"
"111041","ADMINISTRATION MANAGER","مدير الشؤون الاداريه"
"111042","LICENSING MANAGER","مدير تراخيص"
"111043","CHIEF OF LICENSING AND CUSTOMER RELATION","رئيس التراخيص وعلاقات المتعاملين"
"111044","HEAD OF CAREER AND TECHNICAL EDUCATION","مدير التعليم الفني والمهني"
"111045","OFFICE MANAGER","مدير مكتب"
"111046","HEAD OF INTERNAL OPERATIONS","مدير العمليات الداخليه"
"111047","PROGRAM MANAGER","مدير برنامج"
"111048","HEAD OF SCHOOL LICENSING","رئيس ادارة تراخيص المدارس"
"111049","HUMAN RESOURCES DIRECTOR","مدير الموارد البشريه"
"111050","HEAD OF HR SERVICES AND OPERATIONS","مدير العمليات وخدمات الموارد البشريه"
"111051","PERSONNEL MANAGER","مدير شؤون موظفين"
"111052","COORDINATOR / SPECIL NEEDS EDUCATION","اختصاصى موارد بشريه للتعليم الخاص"
"111053","MANAGER HUMAN RESOURCES  ADMIN","مدير الموارد البشريه و الإداريه"
"111054","DEPUTY HR  ADMIN MANAGER","مساعد مدير الموارد البشريه وشؤون الاداره"
"111055","FINANCE MANAGER","مدير مالى"
"111056","HR  ADMIN SUPERVISOR","مشرف دائره الموارد البشريه وشؤون الاداره"
"111057","HR OFFICER","ضابط الموارد البشريه"
"111058","HR ASSISTANT","مساعد الموارد البشريه"
"111059","HR  ADMIN COORDINATOR BRANCH","منسق موارد بشريه وشؤون الاداره للافرع"
"111060","BRANCH HR  ADMIN OFFICER","ضابط موارد بشريه وشؤون الاداره للافرع"
"111061","PUBLIC RELATIONS MANAGER","مدير علاقات عامه"
"111062","Ceremony manager","مدير تشريفات"
"111063","HEAD OF HR PLANNING AND RESOURCING","مدير ادارة التخطيط والموارد"
"111064","QUALITY PLANNING MANAGER","مدير تخطيط الجودة"
"111065","DIRECTOR OF STRATEGY AND BUSINESS DEV","مدير الاستراتيجيه وتطوير الاعمال"
"111066","SENIOR ZONAL SUPERVISOR","متابع منطقه اول"
"111067","REGIONAL BUSINESS DEVELOPMENT MANAGER","المدير الاقليمي لتطوير الاعمال"
"111068","EMERGENCY PLANNING MANAGER","مدير التخطيط - حالات الطوارئ"
"111069","HR EXECUTIVE","تنفيذي موارد بشريه"
"111070","DIRECTOR STRATEGY AND EXCELLENCE","مدير ادارة- الاستراتيجيه والتميز المؤسسي"
"111071","INDUSTRIAL RELATIONS MANAGER","مدير علاقات صناعيه"
"111072","SENIOR MANAGER STRATEGY","مدير اول قسم الاستراتيجيه"
"111073","SR.STRATEGY PLANNING EXECUTIVE","تنفيذي اول تخطيط استراتيجي"
"111074","STRATEGY PLANNING EXECUTIVE","تنفيذي تخطيط استراتيجي"
"111075","HEAD OF LIGHT VEHICLE SECTION","رئيس قسم المركبات الخفيفه"
"111076","HEAD OF HUMAN RESOURCE SERVICES","رئيس قسم الخدمات والموارد البشريه"
"111077","SENIOR EXECUTIVE","تنفيذي اول"
"111081","DEPUTY MANAGER","نائب مدير"
"111091","ASSISTANT MANAGER","مساعد مدير"
"111093","ASSISTANT MANAGING DIRECTOR","مساعد مدير ادارى"
"111095","COMPANY MANAGER","مدير مؤسسه/شركه"
"111096","GENERAL MANAGER EXPLORATION AND PRODUCTION","المدير العام للاستكشاف والانتاج"
"111098","DEPUTY DEPARTMENT HEAD","نائب رئيس قسم"
"111099","DEPARTMENT HEAD","رئيس قسم"
"111100","ASSISTANT TO THE HEAD OF SECTION","مساعد رئيس قسم"
"111101","INNOVATION ASSOCIATE","مساعد مدير الابتكار"
"111102","GOV SERVICES AND PROTOCOL ASSOCIATE","مساعد مدير البروتوكول والعلاقات الحكوميه"
"111110","V.P OPERATIONS","نائب رئيس قسم العمليات"
"111115","VICE PRESIDENT MARKETING","نائب رئيس التسويق"
"111121","SECTION HEAD","رئيس شعبه"
"111131","CENTER HEAD","رئيس مركز"
"111132","DEPUTY CENTER HEAD","نائب رئيس مركز"
"111141","UNIT HEAD","رئيس وحده"
"111142","UNIT IN CHARGE","مسؤول وحده"
"111151","SECTION HEAD","مسؤول قسم"
"111155","Not Correct","غير صحيح"
"111161","BRANCH SUPERVISOR","مشرف فرع"
"112000","CENTRAL PUBLIC SERVICES DIRCTS","مديروالخدمات الحكوميةالمركزيه"
"112011","DIPLOMATIC CORPS DIRECTOR","مدير بالسلك الدبلوماسى"
"112012","MANAGER SPECIAL UNIT","مدير قسم الوحدة الخاصه"
"112021","EDUCATION AFFAIRS DIRECTOR","مدير شؤون تعليميه"
"1223011","SPEC IN ANIMAL RESOURCES GEN","اختصاصى ثروه حيوانيه"
"1223021","SPECIALIST IN STOCK BREEDING","اختصاصى تربيه مواشى"
