"port_id","port_desc_en","port_desc_ar"
"200","DUBAI AIRPORT","مطار دبى الدولى"
"205","Al Maktoum Airport","مطار آل مكتوم"
"210","RASHID PORT","ميناء راشد"
"215","AL MINHAD AIRPORT","مطار المنهاد"
"220","JEBEL ALI PORT","ميناء جبل على"
"230","SHANDAGHA PORT","ميناء الشندغه"
"240","HAMIRYA PORT","ميناء الحمريه"
"250","DRY DOCKS","ميناء الحوض الجاف"
"260","Hatta Border","مركز حتا"
"270","Unknown","غير محدد"
"280","EK Crew Building","م.ط طيران الامارات"
"290","DUBAI HARBOUR PORT","ميناء دبي هاربر"
"292","Al Wigaga(to S.Oman)","مركزالوجاجه(للسلطنه)"
