"service_center_id","branch_name_en","branch_name_ar","is_head_office","location_en","location_ar","po_box_no_en","po_box_no_ar","email_contact","tel_contact","fax_contact","working_hour_en","working_hour_ar","geo_add_latitude","geo_add_longitude"
"471","General Directorate for Residency and NaturalizationHead Quarter","الإدارة العامة للإقامة وشؤون الأجانب - دبي","true","Aljaffilya - Behind Jaffilya Police Station- Bur Dubai","منطقة الجافلية خلف مركز شرطة الجافلية - بر دبي","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص. ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","8:00 am - 8:00 PM","8:00 ص - 8:00 م","25.234098","55.290506"
"535","Tawar Municipality Section","قسم بلدية الطوار","false","Altawar Municipality New Building- Altawar 2","مبنى بلدية الطوار الجديد - منطقة الطوار 2","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي  ص. ب:  4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 AM - 08:00 PM","07:30 AM - 08:00 PM","25.263609","55.387974"
"516","Head Qyarter Section- Dubai Police","قسم القيادة العامة - شرطة دبي","false","Head Quarter of Dubai Police Building","مبنى القيادة العامة لشرطة دبي","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي ص. ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 am   -     02:30  pm","07:30 am    -    02:30 pm","25.278591","55.354889"
"478","Hayat Regency Section","قسم حياة ريجنسي","false","Hayat Regency Hotel- Deira","فندق حياة ريجنسي - ديرة","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","08:00  am  -  02:30pm","08:00  am  -  02:30 pm","25.278620","55.304840"
"481","Bin Suqqat Center Section","قسم بن سوقات سنتر","false","Bin Souqqat Center- Arashidyah","مركز بن سوقات - في منطقة الراشدية","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص. ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 am  -08:00 pm","07:30 am  -08:00 pm","25.233217","55.384678"
"484","Free Zone Section- Dubai International Airport","قسم المنطقة الحرة لمطار دبي الدولي","false","Dubai Airport Free Zone - Altawar2","المنطقة الحرة في مطار دبي الدولي - منطقة الطوار 2","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص. ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 am - 08:00 pm","07:30 am - 08:00 pm","25.260902","55.372715"
"501","Arabian Center Section","قسم العربي سنتر","false","arabian Center Building- Almuzhar 1","بمبنى مركز العربي  -  بمنطقة المزهر 1","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة  - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 am -08:00 pm","07:30 am -08:00 pm","25.236368","55.436771"
"472","Dnata Deira Section","قسم دناتا- ديرة","false","Dnata Building- Clock Round- Deira","مبنى شركة دناتا ديرة - بجانب دوار الساعة -  ديرة","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 am  - 08:00 pm","07:30 am  - 08:00 pm","25.258804","55.330559"
"531","Allissely section","قسم اللسيلي","false","Allissily","منطقة اللسيلي","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","8:00 AM   -   6:00 PM","8:00 AM   -   6:00 PM","24.951417","55.508216"
"490","His Excellency the Governor Department Section","قسم ديوان سمو الحاكم","false","Rashid Port- Near toDubai  Dry Docks","شارع ميناء راشد - بجانب حوض دبي الجاف","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","7:30 am - 2:30pm","7:30 am - 2:30 pm","25.246786","55.273273"
