"servicecenterid","serviceid","servicenameen","servicenamear","isavailable"
"492","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"471","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"481","178","Replacement of lost establishment card","بدل فاقد لبطاقة المنشأه","true"
"481","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"493","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"514","1212","Multi Short Term Visit Visa - For Work Or Entertainment","إذن دخول زيارة قصيرة لعدة سفرات - عمل أو ترفية","true"
"476","1239","Entry Permit of escort for GCC citizens","إذن دخول مرافقين لمواطني مجلس التعاون","true"
"512","172","Renewal of the establishment card of a private sector or free zone","تجديد بطاقة منشأة لمؤسسات القطاع الخاص او المنطقه الحره","true"
"484","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"471","179","Renewal of PRO card for government sector entity","تجديد بطاقة مندوب لجهة قطاع حكومي","true"
"496","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"474","611","","آلية طلبات الأجهزة.","true"
"474","1236","Entry Permit for GCC Residents","إذن دخول للمقيمين في دول مجلس التعاون","true"
"471","1241","Entry Permit For Domestic Helpers Category Escorting for GCC Residents","إذن دخول للمرافقين الفئة المساعده لمقيمي دول مجلس التعاون","true"
"500","80","Renewal of work residence","تجديد إقامة عمل","true"
"497","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"508","821","","استلام وتحويل الإقتراحات .","true"
"481","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"838","178","Replacement of lost establishment card","بدل فاقد لبطاقة المنشأه","true"
"512","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"512","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"471","736","","إحالة الشكاوى للمحكمة العمالية.","true"
"501","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"492","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"513","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"497","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"476","737","","الصيانة من قبل الشركات","true"
"536","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"476","80","Renewal of work residence","تجديد إقامة عمل","true"
"501","737","","الصيانة من قبل الشركات","true"
"654","158","","خروج اليخوت.","true"
"480","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"471","1313","Replacement of PRO Card","بدل تالف لبطاقة مندوب","true"
"512","1314","Replacement for lost PRO card","بدل فاقد لبطاقة المندوب","true"
