"visatypeid","visatypedescen","visatypedescar"
"57","Entry Permit golden residence - out of country","اذن دخول للاقامة الذهبية - خارج الدولة"
"153","Residence - GCC Citizen Family","إقامة - أسرة كفيل خليجي"
"59","Multi Visa 3 Months","مجاملة/عدةسفرات"
"155","Golden Residence - Accredited University Graduates Family","إقامة ذهبية - أسرة خريجي الجامعات المعتمدة"
"156","Golden Residence - Frontline Heroes","إقامة ذهبية - خط الدفاع الأول"
"60","Job Seekers","الباحثين عن العمل"
"6","Group","جـماعية"
"102","Golden Residence - Special Talents","إقامة ذهبية - أصحاب المواهب"
"136","Visit - Business - Single - 180 days","زيارة - عمل - سفرة - 180 يوم"
"40","Exhibition","معـــارض"
"904","Temporary work contract","عقد عمل - تصريح العمل المؤقت"
"85","Leisure/Single-Short","ترفيه/سفرة-قصيرة"
"51","Property Owner","مالك عقار"
"147","Green Residence - Self Employment - Family","إقامة خضراء - أسرة عمل حر"
"77","Tourist/Single-Long","سياحية/سفرة-طويلة"
"53","Reciprocity/Embassy","المعاملة بمثل/سفارات"
"149","Cruise ships Crew - Multi - 60 days","أطقم السفن السياحية - سفرات - 60 يوم"
"33","EMBASSY RESIDENT","سفاره-إقامه"
"129","Study - Single - 60 days","دراسة - سفرة - 60 يوم"
"20","Private (Special Visa)","خـاصــة"
"116","Visit - Relative/Friend - Single - 30 days","زيارة - قريب/صديق - سفرة - 30 يوم"
"49","GCC Resident","مجلس تعاون/مقيم"
"145","Green Residence - Investor/Partner - Family","إقامة خضراء - أسرة مستثمر/شريك"
"69","Short M Conference","مؤتمر/سفرات-قصيرة"
"81","GCC Treatment-Multi","مرافق علاج-سفرات"
"92","Long Visa(90 Days Invitation)","إذن دخول (دعوة) طويلة 90 يوم"
"111","Virtual Work Residence Holder Family","أسرة حامل إقامة عمل افتراضي"
"15","96 Hrs","عبور(96 ساعة)"
"97","Long-Multi-Leisure-E","طويلة سفرات ترفيه/ س"
"1","Visit","زيــارة"
"2","EMPLOYMENT","عــمــل"
"98","Short-Single-Work-E","قصيرة سفرة عمل / س"
"14","Multiple/Yachts Crew 180 days","عدة سفرات/طاقم اليخوت 180 يوم"
"110","Virtual Work Residence","إقامة عمل افتراضي"
"140","Treatment - Multi - 180 Days","علاج - سفرات - 180 يوم"
"44","Long Complimentary","مجاملة/طويلة"
"39","Medical Treatment","عـــــلاج"
"903","Work contract","عقد عمل"
"135","Visit - Business - Single - 60 days","زيارة - عمل - سفرة - 60 يوم"
"37","Short Term Visit","زيارة قصيرة"
"901","Temporary Work Permit","تصريح عمل مؤقت"
"133","Truck Drivers - Multi - 90 Days","سائقي الشاحنات - سفرات - 90 يوم"
"148","Cruise ships Crew - Multi - 30 days","أطقم السفن السياحية - سفرات - 30 يوم"
"52","Sailors AND  Marines","تصاريح بحارة"
"146","Green Residence - Skilled Worker - Family","إقامة خضراء - أسرة عامل مهاري"
"50","Short Complimentary","مجاملة/قصيرة"
"79","Treatment-Multi","علاج/سفرات"
"21","Reciprocity 90 Days","معاملة بالمثل 90 يوم"
"117","Visit - Relative/Friend - Multi - 30 days","زيارة - قريب/صديق - سفرات - 30 يوم"
"43","Tourist","سياحــة"
"139","Treatment - Single - 180 Days","علاج - سفرة - 180 يوم"
"64","Short Leisure/Multi","ترفيه قصيرة/سفرات"
"142","Green Residence - Investor/Partner","إقامة خضراء - مستثمر/شريك"
"46","Long Visit -Embassy","سفارة/زيارة طويله"
"144","Green Residence - Self Employment","إقامة خضراء - عمل حر"
"48","GCC Accompany","مجلس تعاون/مرافق"
"89","Visit - Work (Mission) - Single - 90 days","زيارة - عمل (لمهمة) - سفرة - 90 يوم"
"128","Study - Single - 30 days","دراسة - سفرة - 30 يوم"
"32","EMBASSY-WORK","سفاره-عمل"
"27","European Nationals (Schengen)","أذن دخول لرعايا الدول الأوروبية ( منطقة الشنغن )"
"123","Job Opportunities - Single - 90 Days","فرص العمل - سفرة - 90 يوم"
"134","Visit - Business - Single - 30 days","زيارة - عمل - سفرة - 30 يوم"
"38","Education","دراســـة"
"47","Short Visit -Embassy","سفارة/زيارة قصيره"
"143","Green Residence - Skilled Worker","إقامة خضراء - عامل مهاري"
"31","Embassy Visit","سفاره-زياره"
"127","Exploring Business - Single - 120 Days","تأسيس الأعمال - سفرة - 120 يوم"
"170","Entry Permit Oman Residents","إذن دخول مقيمي سلطنة عمان"
"35","Multiple entry","عدة سفرات"
"131","Truck Drivers - Multi - 30 Days","سائقي الشاحنات - سفرات - 30 يوم"
"99","Short-Sngl-Leisure-E","قصيرة سفرة ترفيه / س"
"3","RESIDENCE","إقـامـة"
"65","Leisure/Multi-Long","ترفيه/سفرات-طويلة"
"109","Golden Residence - Universities Graduates Family","إقامة ذهبية - أسرة خريجي الجامعات"
"13","Reciprocity 30 Days","معاملة بالمثل 30 يوم"
"8","Short Visa Single - Service","زيارة قصيرة سفرة واحدة - مهمة"
"104","Golden Residence - Investor Family","إقامة ذهبية - أسرة مستثمر"
"41","Festival","مهـرجــان"
"905","Visa type for immigration file holder","نوع التأشيرة لحامل ملف الهجرة"
"137","Treatment Accompany - Single - 180 Days","مرافق علاج - سفرة - 180 يوم"
"87","Tourism - Single - 30 Days","سياحة - سفرة - 30 يوم"
"106","Golden Residence - Special Talents Family","إقامة ذهبية - أسرة أصحاب المواهب"
"22","MILITARY VISA","تأشيرة العسكرين"
"118","Visit - Relative/Friend - Single - 60 days","زيارة - قريب/صديق - سفرة - 60 يوم"
"55","MultiEntry/Americans","عدة سفرات/أمريكان"
"151","Cruise ships Crew - Multi - 120 days","أطقم السفن السياحية - سفرات - 120 يوم"
"70","Short Multi-Nadwa","ندوة/سفرات-قصيرة"
"4","Entry Permit for Investments Investors","اذن دخول للمستثمرين"
"100","Golden Residence - Investor","إقامة ذهبية - مستثمر"
"45","Multi Entry -Embassy","عدةسفرات /سفارة"
"141","Visit - Courtesy - Single - 60 Days","زيارة - مجاملة - سفرة - 60 يوم"
"78","Tourist/Multi-Long","سياحية/سفرات-طويلة"
"138","Treatment Accompany - Multi - 180 Days","مرافق علاج - سفرات - 180 يوم"
"42","Conference","مؤتـمـــر"
"83","ER/Healthy-Viewer","طارئ/عارض-صحي"
"12","GCC Residents","دول مجلس تعاون"
"108","Golden Residence - University Graduates","إقامة ذهبية - خريجي الجامعات"
"103","Golden Residence - Retiree","إقامة ذهبية - متقاعد"
"7","EMPLOYMENT/I","عــمــل/هـ"
"171","VISA FOR INDIAN RESIDENCE OF (USA-UK-EU)60DAYS","تأشيرة رعايا الهند (امريكا-بريطانيا-أوروبا) 60يوم "
"91","Reciprocity 180 Days","معاملة بالمثل 180 يوم"
"132","Truck Drivers - Multi - 60 Days","سائقي الشاحنات - سفرات - 60 يوم"
"36","Long Term Visit","زيارة طويلة"
"82","ER Cancel Trips","طارئ الغاء رحلات"
"68","Short M Exibition","معرض/سفرات-قصيرة"
"130","Study - Single - 180 days","دراسة - سفرة - 180 يوم"
"34","Entry Permit for Entrepreneurs and Genius Students","اذن دخول لرواد الآعمال والطلاب النابغين"
"93","Work/Multi-Short","قصيرة سفرات عمل"
"61","Reciprocity 60 Days","معاملة بالمثل 60 يوم"
"157","Golden Residence - Frontline Heroes Family","إقامة ذهبية - أسرة خط الدفاع الأول"
"30","On Arrival Mauritius","عند الوصول / موريشيوس"
"126","Exploring Business - Single - 90 Days","تأسيس الأعمال - سفرة - 90 يوم"
"58","Multi Entry - Work","علاقة عمل سفرت"
"154","Golden Residence - Accredited University Graduates","إقامة ذهبية - خريجي الجامعات المعتمدة"
"29","Indians - US UK EU permits","رعايا الهند - تاشيرة (امريكا ، بريطانيا ، الاتحاد الاوروبي)"
"125","Exploring Business - Single - 60 Days","تأسيس الأعمال - سفرة - 60 يوم"
"150","Cruise ships Crew - Multi - 90 days","أطقم السفن السياحية - سفرات - 90 يوم"
"54","Oman Resident Visa","مقيمين سلطنة عمان"
"88","Crew","أطقم الطائرات"
"62","Tourism (Cruise Ships) - Multi - 30 Days","سياحة (بواخر) - سفرات - 30 يوم"
"158","Listed People","المطلوبين"
"119","Visit - Relative/Friend - Multi - 60 days","زيارة - قريب/صديق - سفرات - 60 يوم"
"23","Long Term Visit - Single Entry - Work / Embassy","إذن دخول زيارة طويلة لسفرة واحدة عمل / سفارة"
"101","Golden Residence - Investor - CEO","إقامة ذهبية - مدير تنفيذي لمستثمر"
"5","PRIVATE (old)","خـاصــة(قديم)"
"11","On Arival","عند الوصول"
"107","Golden Residence - Retiree Family","إقامة ذهبية - أسرة متقاعد"
"80","GCC Treatment-Single","مرافق علاج-سفرة"
"86","Leisure/Single-Long","ترفيه/سفرة-طويلة"
"90","Short Work Gov","قصيرة سفرة عمل حكومة"
"63","Residence Area/Multi","مقيمين مناطق/سفرات"
"159","Visit - HAYYA Card Holders - Multiple - 90 Days","زيارة - حاملي بطاقة هيا - سفرات - 90 يوم"
"94","Short-Multi-Work/Emb","قصيرة سفرات عمل / س"
"16","48 hrs","48 ساعة"
"112","Tourist/Multi-5-years","سياحية/سفرات-5-سنوات"
"84","Comp/Multi-Long","مجاملة/سفرات-طويلة"
"17","Multiple/Cruise Crew 180 days","عدة سفرات/طاقم السياحية 180 يوم"
"113","Skilled Worker","عمالة ماهرة"
"56","Brazil On Arrival","رعايا البرازيل عند الوصول"
"152","Residence - UAE Citizen Family","إقامة - أسرة كفيل مواطن"
"67","Short M Festival","مهرجان/سفرات-قصيرة"
"124","Job Opportunities - Single - 120 Days","فرص العمل - سفرة - 120 يوم"
"28","Seychelles Citizens Visa","إذن دخول مواطني سيشل"
"25","Long/Comp/Embassy","طويلة مجاملة/س"
"121","Visit - Relative/Friend - Multi - 90 days","زيارة - قريب/صديق - سفرات - 90 يوم"
"66","Work/Multi-Long","عمل/سفرات-طويلة"
"76","Tourism - Multi - 30 Days","سياحة - سفرات - 30 يوم"
"19","Visit - Work (Mission) - Single - 90 days","زيارة - عمل (لمهمة) - سفرة - 90 يوم"
"115","Tourism - Multi - 60 Days","سياحة - سفرات - 60 يوم"
"120","Visit - Relative/Friend - Single - 90 days","زيارة - قريب/صديق - سفرة - 90 يوم"
"24","Short Visa(30 Days Invitation)","إذن دخول (دعوة) قصيرة 30 يوم"
"96","Long-Multi-Work-Emb","طويلة سفرات عمل/ س"
"105","Golden Residence - Investor - CEO Family","إقامة ذهبية - أسرة مدير تنفيذي لمستثمر"
"9","Tourist(old)","سياحــة(قديم)"
"18","SAILORS & MARINES","بحاره"
"114","Tourism - Single - 60 Days","سياحة - سفرة - 60 يوم"
"95","Short-Multi-Emp/Emb","قصيرة سفرات ترفيه/ س"
"122","Job Opportunities - Single - 60 Days","فرص العمل - سفرة - 60 يوم"
"26","Short/Comp/Embassy","قصيرة مجاملة/س"
